Rank,Journal Name,Singular Value Score,Citation Count,Scholarly Output,SJR,SNIP,CiteScore,Percentile,Percent Cited,
1,PLoS ONE,5.71531104478E-09,293689,94517,1.201,1.092,3.11,82,80,
2,PLoS ONE,5.7730851719E-09,293689,94517,1.201,1.092,3.11,91,80,
3,PLoS ONE,5.77953380709E-09,293689,94517,1.201,1.092,3.11,92,80,
4,Lecture Notes in Computer Science,1.19313266042E-08,46014,68341,0.315,0.552,0.67,19,32,
5,Journal of the American Chemical Society,1.2454686054E-08,106124,8052,7.368,2.584,13.18,96,97,
6,Science,1.24615703249E-08,95939,6668,13.535,7.688,14.39,99,64,
7,Journal of the American Chemical Society,1.24621804604E-08,106124,8052,7.368,2.584,13.18,98,97,
8,Journal of the American Chemical Society,1.24656382452E-08,106124,8052,7.368,2.584,13.18,99,97,
9,Nature Communications,1.2804672839E-08,92807,7866,6.399,2.995,11.8,97,96,
10,Lecture Notes in Computer Science,1.33299315456E-08,46014,68341,0.315,0.552,0.67,42,32,
11,RSC Advances,2.52334637068E-08,75596,24705,0.875,0.743,3.06,82,82,
12,RSC Advances,2.54382176665E-08,75596,24705,0.875,0.743,3.06,87,82,
13,Scientific Reports,2.55351860642E-08,81119,17530,1.625,1.401,4.63,95,86,
14,Angewandte Chemie - International Edition,2.57900921676E-08,82635,7653,5.8,2.104,10.8,94,95,
15,Angewandte Chemie - International Edition,2.58136226115E-08,82635,7653,5.8,2.104,10.8,97,95,
16,New England Journal of Medicine,2.63813569993E-08,76971,6005,15.736,14.683,12.82,99,51,
17,Chemical Communications,2.93286787433E-08,66224,10921,2.506,1.159,6.06,82,93,
18,Chemical Communications,2.94999112178E-08,66224,10921,2.506,1.159,6.06,95,93,
19,Chemical Communications,2.95346347543E-08,66224,10921,2.506,1.159,6.06,97,93,
20,Chemical Communications,2.95503146895E-08,66224,10921,2.506,1.159,6.06,98,93,
21,Physical Review Letters,3.09109883094E-08,59528,9399,3.56,2.133,6.33,95,89,
22,Journal of Materials Chemistry A,3.09471917205E-08,62684,7411,3.037,1.468,8.46,95,95,
23,Journal of Materials Chemistry A,0.000000031,62684,7411,3.037,1.468,8.46,96,95,
24,ACS applied materials & interfaces,0.000000031,60500,7965,2.524,1.528,7.6,95,95,
25,Nature,3.19324100464E-08,109174,8188,18.134,8.039,13.33,98,57,
26,Proceedings of the National Academy of Sciences of the United States of America,3.45957570597E-08,110280,12884,6.321,2.629,8.56,96,88,
27,Physical Review B - Condensed Matter and Materials Physics,3.52949417222E-08,46969,14862,1.939,1,3.16,86,78,
28,Physical Review B - Condensed Matter and Materials Physics,3.53043291945E-08,46969,14862,1.939,1,3.16,88,78,
29,Proceedings of SPIE - The International Society for Optical Engineering,3.70817368913E-08,17346,40879,0.228,0.384,0.42,16,24,
30,Proceedings of SPIE - The International Society for Optical Engineering,3.71137562507E-08,17346,40879,0.228,0.384,0.42,18,24,
31,Proceedings of SPIE - The International Society for Optical Engineering,3.7131612959E-08,17346,40879,0.228,0.384,0.42,19,24,
